n12g0m0.txt
median,0.843,1.776,0.844,0.883,0.899,0.778,0.175,0.235
std,7.995,35.277,9.855,15.194,13.148,17.891,4.86,5.858
iqr,2.33,5.84,2.534,2.862,2.774,2.459,0.686,0.813
win,699,476,703,693,680,767,1353,1291
n6g0m1.txt
25%,-1.221,-0.475,-2.848,-0.936,-0.82,-0.555,0.269,0.249
75%,0.713,0.621,0.483,0.754,0.766,0.836,0.942,0.961
median,0.116,0.123,-0.392,0.092,0.101,0.267,0.778,0.815
std,65.731,29.909,5792.406,30.378,12.384,10.664,2.382,0.741
iqr,1.934,1.096,3.331,1.69,1.587,1.392,0.673,0.712
win,249,248,192,278,258,380,815,926
n6g1m0.txt
25%,0.2,0.236,0.166,0.101,0.08,0.0,0.0,0.0
75%,0.8,1.221,0.747,0.667,0.586,0.667,0.206,0.289
median,0.4,0.536,0.389,0.333,0.274,0.333,0.052,0.082
std,1.152,4.705,2.044,1.597,1.239,1.663,0.61,0.677
iqr,0.6,0.985,0.581,0.566,0.507,0.667,0.206,0.289
win,701,464,586,723,796,800,1436,1297
n6g1m1.txt
25%,-1.599,-0.733,-3.786,-0.8,-0.706,-0.466,0.234,0.191
75%,0.572,0.513,0.263,0.819,0.822,1.0,1.0,1.0
median,-0.059,0.026,-0.834,0.2,0.277,0.417,0.766,0.823
std,18.017,43.351,85.934,9.55,54.315,7.899,0.735,0.792
iqr,2.171,1.246,4.048,1.619,1.528,1.466,0.766,0.809
win,219,217,106,397,308,665,832,920
n6g2m0.txt
25%,0.229,0.254,0.261,0.226,0.215,0.25,0.036,0.05
75%,0.814,1.271,0.845,0.809,0.806,0.844,0.409,0.457
median,0.481,0.554,0.552,0.463,0.469,0.5,0.123,0.172
std,1.193,5.832,1.003,1.392,2.201,2.244,0.54,0.567
iqr,0.585,1.017,0.584,0.584,0.591,0.594,0.373,0.407
win,840,754,735,853,872,811,1466,1396
n6g2m1.txt
25%,-4.578,-0.465,-12.82,-2.697,-2.073,-2.039,-0.125,-0.151
75%,0.394,0.584,0.003,0.492,0.566,0.576,0.877,0.902
median,-0.663,0.184,-2.378,-0.195,-0.055,-0.036,0.608,0.618
std,160.169,14.315,853.773,80.016,78.992,50.576,8.232,8.007
iqr,4.972,1.049,12.823,3.19,2.638,2.615,1.002,1.053
win,365,626,229,410,447,481,1060,1078
n6g3m0.txt
25%,0.132,0.192,0.329,0.051,0.192,0.0,0.0,0.0
75%,0.867,1.0,1.0,0.729,1.0,0.75,0.222,0.333
median,0.4,0.637,0.71,0.333,0.505,0.278,0.05,0.083
std,1.481,2.434,3.938,0.98,0.994,1.341,0.909,0.722
iqr,0.735,0.808,0.671,0.679,0.808,0.75,0.222,0.333
win,675,602,392,822,639,897,1444,1304
n6g3m1.txt
25%,-1.318,-0.144,-5.004,-0.472,-0.277,-0.32,0.515,0.504
75%,0.851,0.874,0.339,0.953,0.946,1.0,1.0,1.0
median,0.27,0.558,-0.959,0.561,0.643,0.661,0.885,0.912
std,58.41,7.184,719.876,6.623,26.624,9.394,1.678,1.914
iqr,2.169,1.018,5.343,1.425,1.223,1.32,0.485,0.496
